Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,853,Human Resources,11,2,Medical,1,11,1,Male,71,3,1,Manager,2,Divorced,6143,19453,2,Y,Yes,11,3,4,80,0,22,4,3,10,8,2,2
53,Yes,Travel_Rarely,462,Sales,4,3,Medical,1,12,3,Female,60,3,1,Sales Representative,2,Single,6373,16412,9,Y,No,21,4,1,80,1,36,0,2,11,6,4,8
57,No,Non-Travel,1406,Sales,20,3,Life Sciences,1,13,3,Female,92,3,2,Human Resources,3,Single,9636,21160,0,Y,No,23,4,3,80,0,39,2,2,6,3,2,4
41,No,Travel_Rarely,435,Sales,1,2,Medical,1,14,4,Male,55,3,1,Manager,2,Married,6432,3192,8,Y,No,22,3,4,80,0,20,3,2,10,3,1,7
20,No,Travel_Rarely,261,Research & Development,13,3,Marketing,1,15,2,Male,47,4,1,Healthcare Representative,4,Married,3998,19197,3,Y,No,23,3,1,80,0,2,4,2,2,2,2,2
39,No,Travel_Rarely,1283,Research & Development,18,4,Life Sciences,1,16,1,Female,86,3,2,Research Scientist,4,Married,7430,3152,0,Y,No,22,3,1,80,1,23,1,3,10,4,0,7
19,No,Travel_Rarely,1445,Research & Development,9,5,Medical,1,17,1,Female,36,2,3,Research Scientist,1,Single,8840,24216,8,Y,Yes,23,4,4,80,1,0,3,3,0,0,0,0
41,No,Non-Travel,111,Sales,26,3,Medical,1,18,1,Male,77,3,2,Research Director,1,Married,9471,3883,1,Y,No,20,3,2,80,1,25,0,2,5,5,3,4
47,Yes,Travel_Frequently,1196,Sales,24,3,Life Sciences,1,19,4,Male,89,1,1,Sales Executive,3,Married,7668,18651,0,Y,No,21,3,2,80,1,28,3,4,7,3,1,5
55,No,Travel_Rarely,687,Research & Development,24,2,Life Sciences,1,20,4,Female,62,3,1,Research Director,2,Married,5344,22055,1,Y,No,21,3,4,80,0,35,4,3,3,2,1,3
19,No,Travel_Rarely,300,Research & Development,9,2,Other,1,21,4,Male,32,2,2,Sales Representative,4,Single,7452,4812,5,Y,Yes,19,3,4,80,0,1,6,3,1,1,1,1
38,No,Travel_Rarely,621,Research & Development,23,3,Life Sciences,1,22,3,Male,33,3,3,Sales Representative,2,Married,10800,14872,9,Y,No,20,3,1,80,0,17,0,4,8,2,1,8
50,Yes,Travel_Frequently,604,Sales,29,3,Life Sciences,1,23,1,Male,33,3,2,Healthcare Representative,3,Married,9799,8562,1,Y,Yes,19,3,4,80,0,30,5,3,15,10,2,4
29,No,Travel_Rarely,887,Research & Development,9,4,Life Sciences,1,24,3,Female,71,4,1,Laboratory Technician,1,Married,4439,9013,3,Y,No,21,4,4,80,1,9,1,4,6,4,0,3
39,No,Travel_Rarely,1162,Research & Development,10,3,Medical,1,25,1,Female,38,3,2,Sales Representative,4,Divorced,6765,7177,1,Y,Yes,19,3,1,80,1,24,1,3,11,7,2,7
42,No,Travel_Rarely,159,Research & Development,28,3,Medical,1,26,1,Female,80,3,3,Sales Representative,1,Married,11387,22469,6,Y,No,14,3,4,80,0,25,4,2,7,6,3,7
44,No,Travel_Rarely,677,Research & Development,2,3,Medical,1,27,2,Female,46,3,1,Sales Representative,4,Single,5327,18767,1,Y,Yes,12,3,4,80,2,26,0,3,5,4,2,5
59,Yes,Non-Travel,420,Sales,6,4,Life Sciences,1,28,1,Female,46,4,2,Research Scientist,1,Married,8669,21234,1,Y,No,17,3,4,80,2,39,1,3,8,5,1,1
45,No,Travel_Rarely,1022,Human Resources,15,3,Technical Degree,1,29,4,Male,49,3,1,Laboratory Technician,1,Divorced,5105,25105,1,Y,No,23,3,1,80,0,27,0,2,12,5,4,7
33,No,Travel_Rarely,668,Research & Development,3,3,Life Sciences,1,30,4,Female,43,3,1,Laboratory Technician,3,Divorced,5680,25467,4,Y,No,14,4,4,80,1,12,3,3,6,2,1,3
32,Yes,Travel_Rarely,1201,Human Resources,11,3,Life Sciences,1,31,4,Male,51,4,1,Manufacturing Director,2,Married,5231,19433,8,Y,No,24,3,2,80,0,12,6,1,8,3,1,4
20,No,Non-Travel,1317,Research & Development,6,4,Medical,1,32,2,Female,81,3,2,Human Resources,1,Single,7285,20217,3,Y,No,15,3,4,80,1,0,2,3,0,0,0,0
54,Yes,Travel_Rarely,1408,Research & Development,3,1,Life Sciences,1,33,2,Male,56,3,1,Sales Executive,4,Married,7415,10989,0,Y,Yes,11,4,2,80,0,38,2,3,11,6,1,3
24,No,Travel_Rarely,626,Human Resources,24,4,Technical Degree,1,34,3,Male,72,3,1,Sales Representative,2,Married,4143,6467,4,Y,Yes,21,4,4,80,1,4,2,3,4,1,1,4
38,Yes,Travel_Rarely,623,Sales,11,3,Technical Degree,1,35,1,Female,32,1,1,Sales Representative,2,Divorced,5543,21359,6,Y,No,22,3,1,80,0,23,1,3,7,7,1,5
26,No,Travel_Frequently,712,Research & Development,15,3,Life Sciences,1,36,1,Female,37,4,1,Manufacturing Director,1,Married,4230,7155,1,Y,No,20,3,2,80,3,7,4,4,7,3,0,7
56,Yes,Travel_Rarely,1279,Research & Development,13,3,Technical Degree,1,37,4,Male,39,3,2,Sales Executive,1,Married,9371,26082,0,Y,No,23,3,4,80,1,39,2,3,7,2,3,3
35,No,Travel_Rarely,1463,Research & Development,20,3,Marketing,1,38,4,Female,58,2,1,Laboratory Technician,1,Married,4586,26384,1,Y,Yes,16,3,4,80,0,18,5,4,3,3,0,3
21,No,Travel_Rarely,224,Research & Development,28,1,Human Resources,1,39,4,Male,69,4,1,Healthcare Representative,2,Married,4552,16136,6,Y,No,22,3,4,80,1,4,6,2,3,2,3,2
42,No,Travel_Frequently,970,Sales,10,4,Life Sciences,1,40,4,Male,94,3,3,Research Scientist,3,Divorced,11780,19674,4,Y,No,17,3,4,80,2,21,4,3,9,4,1,2
31,No,Travel_Rarely,379,Research & Development,6,3,Medical,1,41,4,Female,50,2,2,Sales Representative,1,Married,6886,9961,4,Y,No,13,3,1,80,1,13,6,3,8,5,4,4
26,No,Travel_Frequently,1016,Research & Development,15,3,Life Sciences,1,42,4,Male,53,2,2,Sales Representative,2,Divorced,8165,25983,1,Y,No,20,4,3,80,3,11,2,3,6,4,2,4
43,No,Travel_Rarely,721,Sales,25,2,Marketing,1,43,1,Female,89,3,1,Healthcare Representative,2,Married,6090,9186,2,Y,No,12,3,2,80,2,26,3,3,6,3,0,3
19,No,Travel_Rarely,945,Research & Development,18,3,Life Sciences,1,44,2,Male,55,2,2,Manager,4,Single,6772,9506,9,Y,No,23,3,4,80,1,3,6,3,3,3,0,3
37,No,Travel_Rarely,773,Sales,18,3,Medical,1,45,4,Female,38,4,1,Sales Executive,1,Married,4160,20571,1,Y,Yes,22,3,1,80,0,17,2,2,7,7,0,7
45,No,Travel_Frequently,1251,Research & Development,7,3,Life Sciences,1,46,1,Female,49,3,1,Manufacturing Director,3,Single,4714,10258,8,Y,No,22,3,3,80,0,25,4,3,8,1,2,5
24,No,Travel_Rarely,413,Human Resources,15,3,Life Sciences,1,47,4,Male,85,3,2,Manufacturing Director,4,Single,7095,15302,4,Y,No,20,3,1,80,3,5,1,2,5,5,2,4
25,No,Travel_Frequently,431,Research & Development,18,3,Medical,1,48,3,Male,65,3,4,Research Director,1,Married,12691,18183,1,Y,Yes,17,3,4,80,3,4,6,1,4,3,0,4
52,No,Travel_Frequently,1273,Research & Development,18,5,Technical Degree,1,49,3,Female,65,3,2,Research Scientist,4,Married,8682,9791,3,Y,Yes,11,3,3,80,0,32,5,2,6,4,0,3
31,No,Travel_Rarely,135,Human Resources,20,3,Medical,1,50,1,Female,51,3,1,Sales Executive,1,Married,6376,8770,9,Y,Yes,12,3,2,80,1,11,3,3,8,6,3,4
34,Yes,Travel_Frequently,1145,Research & Development,9,4,Technical Degree,1,51,2,Male,30,3,4,Sales Representative,4,Single,13367,11893,2,Y,No,13,3,2,80,1,19,4,3,6,4,3,2
53,Yes,Travel_Frequently,305,Research & Development,24,2,Life Sciences,1,52,3,Male,98,4,1,Manager,3,Married,6073,26318,7,Y,Yes,14,3,1,80,1,34,0,2,8,4,2,2
57,No,Travel_Rarely,738,Research & Development,2,3,Medical,1,53,3,Male,66,3,3,Healthcare Representative,4,Married,12144,19989,1,Y,No,15,3,2,80,2,38,2,2,6,4,3,3
21,No,Travel_Rarely,947,Research & Development,8,3,Medical,1,54,2,Male,42,3,2,Research Director,4,Divorced,8721,9987,4,Y,No,14,3,2,80,0,3,3,3,3,3,1,2
19,No,Non-Travel,1479,Sales,20,3,Life Sciences,1,55,3,Male,72,2,2,Research Scientist,4,Married,5585,9165,7,Y,No,20,4,3,80,2,1,1,4,1,1,1,1
23,No,Travel_Rarely,539,Human Resources,2,4,Medical,1,56,4,Male,66,3,2,Research Scientist,1,Married,7322,15514,8,Y,No,13,3,2,80,0,5,6,3,5,1,3,5
59,No,Travel_Frequently,828,Sales,11,1,Medical,1,57,2,Female,54,3,5,Human Resources,1,Single,17021,24438,3,Y,No,11,3,3,80,1,39,0,3,6,5,1,6
21,No,Non-Travel,1219,Research & Development,26,1,Medical,1,58,3,Female,50,3,4,Sales Executive,3,Married,12305,6505,5,Y,Yes,17,3,3,80,0,2,6,3,2,2,2,2
46,No,Travel_Rarely,1040,Research & Development,7,4,Marketing,1,59,2,Female,70,1,2,Manager,4,Married,9753,25631,0,Y,No,22,3,3,80,1,30,2,3,10,2,0,5
35,Yes,Travel_Rarely,263,Research & Development,6,2,Medical,1,60,4,Female,71,4,2,Laboratory Technician,2,Divorced,7551,7807,1,Y,No,20,3,2,80,1,14,3,4,7,7,3,2
43,No,Travel_Rarely,247,Research & Development,10,3,Life Sciences,1,61,3,Female,71,3,2,Healthcare Representative,4,Single,9395,8256,1,Y,No,16,4,1,80,1,25,5,3,5,5,1,4
51,No,Travel_Rarely,393,Research & Development,5,3,Life Sciences,1,62,1,Male,31,3,2,Research Director,2,Married,10916,17156,0,Y,No,12,3,1,80,1,35,4,3,4,3,2,3
27,No,Travel_Rarely,294,Research & Development,11,4,Medical,1,63,3,Female,97,3,3,Sales Representative,2,Married,9773,13908,1,Y,Yes,12,3,2,80,1,10,6,4,10,0,2,9
53,No,Travel_Rarely,762,Sales,1,2,Life Sciences,1,64,3,Female,37,3,1,Manufacturing Director,4,Single,7427,26435,2,Y,No,13,3,3,80,0,33,2,4,7,2,3,2
31,Yes,Travel_Rarely,579,Sales,2,2,Life Sciences,1,65,4,Female,90,3,1,Research Director,2,Married,4567,6284,9,Y,Yes,18,3,2,80,3,10,3,2,8,3,2,3
48,Yes,Travel_Frequently,222,Sales,24,3,Medical,1,66,1,Male,43,3,5,Research Scientist,2,Divorced,16415,16438,5,Y,Yes,18,3,4,80,0,28,2,3,3,3,2,3
32,No,Travel_Frequently,798,Research & Development,1,5,Medical,1,67,1,Female,50,1,4,Sales Representative,4,Married,12478,4154,2,Y,No,20,3,1,80,1,16,5,3,8,1,3,7
25,No,Travel_Rarely,1064,Sales,19,3,Life Sciences,1,68,1,Female,53,3,1,Healthcare Representative,1,Divorced,5197,9742,9,Y,No,20,3,3,80,0,7,3,3,7,2,1,6
31,Yes,Travel_Rarely,760,Research & Development,2,3,Medical,1,69,4,Female,79,2,1,Manager,4,Single,6003,16227,1,Y,No,20,4,2,80,0,15,4,3,3,3,2,3
40,No,Travel_Rarely,1227,Research & Development,21,3,Medical,1,70,4,Male,74,3,5,Laboratory Technician,3,Married,15672,16265,3,Y,No,22,3,3,80,0,24,2,3,2,2,2,1
57,No,Travel_Rarely,809,Sales,20,4,Life Sciences,1,71,4,Female,93,2,2,Sales Representative,2,Married,10846,21188,5,Y,No,20,3,4,80,3,40,6,2,6,3,0,4
38,No,Non-Travel,495,Research & Development,29,4,Marketing,1,72,4,Female,93,4,2,Sales Representative,3,Married,9324,20604,0,Y,No,21,3,3,80,0,18,3,3,6,4,3,2
33,No,Travel_Frequently,1011,Research & Development,23,5,Medical,1,73,4,Male,55,3,1,Research Scientist,2,Divorced,5877,11190,6,Y,No,24,3,4,80,0,15,6,4,6,6,1,4
35,No,Travel_Rarely,1460,Sales,21,1,Medical,1,74,1,Female,61,3,4,Sales Executive,1,Single,12447,19105,0,Y,No,22,4,1,80,2,15,0,3,2,2,1,2
41,No,Non-Travel,1104,Research & Development,24,2,Medical,1,75,2,Male,86,3,1,Research Scientist,2,Divorced,5350,25358,1,Y,Yes,18,3,3,80,0,23,1,4,5,3,1,2
43,No,Travel_Rarely,1265,Research & Development,4,3,Life Sciences,1,76,4,Female,82,4,1,Research Director,4,Married,5350,24187,1,Y,Yes,17,3,2,80,2,28,5,3,7,4,2,5
42,Yes,Travel_Frequently,416,Research & Development,12,4,Medical,1,77,2,Female,62,2,1,Laboratory Technician,2,Single,6679,21778,8,Y,No,24,3,3,80,2,23,3,3,8,2,4,4
58,No,Travel_Rarely,780,Research & Development,22,2,Life Sciences,1,78,3,Male,81,3,4,Manufacturing Director,3,Divorced,13730,6025,5,Y,No,12,3,3,80,1,39,6,4,3,3,3,1
46,No,Non-Travel,1433,Research & Development,20,2,Human Resources,1,79,3,Male,47,3,2,Research Director,4,Married,9281,26512,5,Y,No,11,3,4,80,0,31,3,3,9,4,1,2
32,Yes,Travel_Rarely,594,Research & Development,18,4,Marketing,1,80,4,Female,64,1,3,Laboratory Technician,3,Divorced,9255,17907,4,Y,No,16,3,4,80,0,17,3,3,10,1,1,4
18,No,Travel_Frequently,655,Sales,1,1,Medical,1,81,3,Male,41,2,2,Manager,1,Married,7158,16469,1,Y,Yes,21,3,2,80,0,3,2,3,3,3,1,2
42,No,Travel_Frequently,709,Research & Development,1,3,Life Sciences,1,82,2,Male,80,3,4,Research Scientist,3,Divorced,13433,7156,4,Y,Yes,18,3,1,80,0,27,5,3,6,2,3,2
24,No,Travel_Rarely,208,Research & Development,24,3,Life Sciences,1,83,3,Female,39,2,3,Laboratory Technician,3,Married,10546,16428,2,Y,Yes,11,3,1,80,0,5,1,2,5,4,4,5
26,No,Travel_Rarely,471,Sales,14,3,Life Sciences,1,84,3,Male,81,3,3,Sales Executive,3,Single,10553,16410,1,Y,No,13,4,4,80,2,7,5,2,4,1,2,1
41,No,Travel_Frequently,954,Research & Development,4,4,Medical,1,85,2,Male,63,1,5,Human Resources,4,Married,16988,12995,5,Y,No,11,3,2,80,1,26,2,3,7,5,1,2
18,No,Travel_Rarely,715,Human Resources,5,3,Life Sciences,1,86,3,Female,96,3,2,Manufacturing Director,1,Single,7668,6812,1,Y,No,20,3,3,80,0,0,6,3,0,0,0,0
25,No,Travel_Rarely,867,Research & Development,11,3,Medical,1,87,4,Male,68,2,2,Manager,1,Married,7174,10650,1,Y,No,19,4,2,80,0,8,3,4,8,3,1,4
41,No,Travel_Rarely,305,Research & Development,24,3,Life Sciences,1,88,2,Male,37,3,4,Sales Representative,1,Single,12412,18058,7,Y,No,17,4,2,80,1,21,5,4,10,5,1,5
28,No,Travel_Rarely,946,Research & Development,28,3,Other,1,89,2,Female,58,4,3,Research Scientist,3,Single,8957,4456,5,Y,No,24,3,2,80,0,12,3,2,8,3,3,8
34,No,Travel_Frequently,142,Research & Development,23,3,Life Sciences,1,90,1,Female,51,3,2,Research Director,4,Single,6110,18590,5,Y,No,18,3,1,80,2,19,1,3,5,5,1,1
25,No,Travel_Rarely,964,Research & Development,13,2,Human Resources,1,91,1,Female,99,3,1,Human Resources,4,Married,3693,19740,2,Y,No,19,4,3,80,0,6,0,1,6,4,4,1
52,No,Travel_Rarely,1368,Research & Development,16,1,Technical Degree,1,92,2,Female,90,3,2,Research Scientist,4,Married,9275,14960,2,Y,No,13,4,2,80,2,35,2,3,5,3,0,5
52,No,Travel_Rarely,1410,Research & Development,24,2,Medical,1,93,2,Female,72,2,2,Healthcare Representative,3,Married,8772,13788,5,Y,No,20,3,1,80,1,37,0,4,5,3,3,5
50,No,Travel_Rarely,1478,Research & Development,13,2,Medical,1,94,1,Male,78,2,1,Research Scientist,1,Single,6415,25845,6,Y,No,21,4,1,80,3,33,5,4,11,1,3,5
22,No,Travel_Rarely,884,Research & Development,24,3,Medical,1,95,4,Male,58,1,4,Healthcare Representative,3,Married,12214,9156,3,Y,No,12,3,4,80,0,2,3,2,2,2,0,2
59,No,Travel_Rarely,575,Research & Development,22,4,Medical,1,96,3,Male,60,4,1,Sales Representative,4,Married,7036,16265,9,Y,No,16,3,3,80,0,39,6,2,6,6,4,6
56,Yes,Travel_Rarely,182,Human Resources,26,4,Life Sciences,1,97,3,Male,82,3,2,Manager,3,Married,8642,10151,9,Y,No,15,3,2,80,1,38,6,2,4,3,2,4
58,No,Travel_Rarely,1233,Research & Development,2,4,Life Sciences,1,98,3,Female,63,3,2,Manufacturing Director,2,Divorced,9657,12987,2,Y,No,14,3,3,80,3,40,3,3,12,3,4,5
45,Yes,Travel_Frequently,289,Sales,16,3,Medical,1,99,2,Female,67,4,2,Research Scientist,1,Married,7941,14560,7,Y,Yes,16,3,4,80,1,26,4,3,9,8,4,4
24,Yes,Travel_Rarely,899,Research & Development,6,3,Medical,1,100,4,Male,86,4,1,Sales Representative,1,Married,4263,24906,4,Y,No,16,3,4,80,1,3,4,3,3,3,0,3
26,No,Travel_Rarely,1035,Research & Development,14,3,Medical,1,101,1,Female,33,3,2,Human Resources,4,Single,8214,4673,3,Y,No,22,3,2,80,0,8,0,3,4,3,3,2
25,No,Travel_Rarely,350,Sales,1,2,Life Sciences,1,102,4,Male,31,3,1,Sales Executive,3,Single,4343,16999,0,Y,Yes,13,3,1,80,0,4,4,3,4,4,1,4
29,Yes,Travel_Rarely,390,Research & Development,17,1,Life Sciences,1,103,4,Male,41,3,1,Laboratory Technician,4,Divorced,6296,19433,4,Y,No,24,4,4,80,0,13,6,2,6,6,3,4
51,No,Travel_Rarely,1324,Research & Development,11,3,Life Sciences,1,104,3,Female,64,2,1,Sales Representative,3,Divorced,7785,8823,8,Y,No,12,3,1,80,1,33,5,2,9,4,4,4
50,No,Travel_Rarely,425,Research & Development,19,5,Life Sciences,1,105,1,Male,99,3,1,Human Resources,2,Single,6096,20975,6,Y,No,19,3,4,80,0,34,1,1,3,3,0,2
40,No,Travel_Frequently,936,Sales,3,2,Life Sciences,1,106,4,Male,50,3,1,Healthcare Representative,1,Married,4871,8876,6,Y,No,18,3,3,80,0,23,5,3,6,2,2,2
41,No,Travel_Rarely,607,Research & Development,11,1,Life Sciences,1,107,1,Male,90,4,2,Sales Representative,1,Married,8297,22388,1,Y,No,24,3,2,80,1,24,0,4,1,0,1,1
54,No,Travel_Rarely,830,Research & Development,29,4,Life Sciences,1,108,2,Male,64,3,4,Sales Representative,3,Married,15302,7973,2,Y,No,14,4,4,80,3,38,5,3,6,2,1,3
52,No,Travel_Frequently,171,Sales,5,2,Marketing,1,109,3,Female,77,3,2,Manufacturing Director,1,Divorced,8827,10282,1,Y,Yes,16,3,3,80,1,35,4,2,5,5,0,2
57,Yes,Travel_Rarely,1370,Human Resources,17,4,Life Sciences,1,110,1,Female,44,3,2,Healthcare Representative,3,Single,10346,10667,1,Y,No,13,3,4,80,1,40,4,3,3,3,3,3
39,No,Travel_Rarely,740,Research & Development,26,4,Medical,1,111,2,Male,44,2,1,Research Scientist,4,Married,6646,10056,4,Y,No,21,3,2,80,3,18,1,1,7,1,1,4
44,No,Travel_Rarely,1039,Sales,22,5,Life Sciences,1,112,2,Male,35,3,3,Research Director,2,Single,10460,4046,2,Y,No,18,3,3,80,0,25,5,2,5,5,3,3
52,No,Travel_Rarely,707,Research & Development,7,3,Technical Degree,1,113,2,Female,97,3,2,Sales Executive,3,Married,8679,23691,4,Y,Yes,13,3,1,80,0,36,1,3,5,5,3,4
18,No,Travel_Frequently,665,Research & Development,10,3,Medical,1,114,4,Female,51,3,2,Research Scientist,2,Single,7070,9736,2,Y,No,12,3,4,80,1,0,6,3,0,0,0,0
52,No,Travel_Frequently,1467,Research & Development,28,3,Life Sciences,1,115,4,Male,61,3,1,Laboratory Technician,4,Divorced,6841,5690,1,Y,No,17,4,4,80,0,34,0,3,9,3,0,5
54,No,Non-Travel,153,Sales,29,3,Medical,1,116,3,Male,51,2,1,Sales Representative,4,Married,6331,21650,0,Y,No,24,3,3,80,0,33,2,3,5,1,2,4
31,No,Travel_Rarely,627,Sales,11,3,Life Sciences,1,117,3,Female,56,3,2,Manager,4,Divorced,7258,23013,8,Y,No,13,3,2,80,0,15,5,2,4,4,4,3
20,No,Travel_Rarely,710,Sales,3,2,Medical,1,118,2,Female,44,3,2,Sales Representative,3,Single,6603,4745,0,Y,No,23,3,4,80,1,3,6,2,3,3,2,3
18,No,Travel_Rarely,292,Research & Development,20,3,Life Sciences,1,119,3,Male,73,3,4,Healthcare Representative,2,Single,10248,25407,0,Y,Yes,19,3,3,80,0,0,6,3,0,0,0,0
22,No,Travel_Rarely,157,Research & Development,10,3,Other,1,120,4,Female,38,3,1,Manufacturing Director,2,Single,4932,26660,7,Y,No,13,3,2,80,0,4,5,2,4,3,1,4
43,No,Travel_Rarely,1234,Sales,27,4,Medical,1,121,3,Male,63,2,1,Sales Representative,1,Married,5617,4639,9,Y,No,18,3,4,80,0,24,1,3,3,3,1,3
31,Yes,Non-Travel,228,Sales,10,4,Life Sciences,1,122,1,Male,44,2,2,Laboratory Technician,3,Divorced,5313,23320,6,Y,Yes,12,3,3,80,0,12,4,3,5,4,1,1
56,No,Travel_Rarely,805,Research & Development,14,3,Medical,1,123,4,Male,91,3,4,Sales Representative,1,Married,14520,2076,0,Y,No,19,3,2,80,3,36,0,2,8,3,1,4
44,No,Travel_Rarely,951,Human Resources,12,2,Life Sciences,1,124,2,Female,74,3,2,Research Scientist,1,Single,7986,8473,1,Y,No,11,3,4,80,3,25,2,4,3,3,1,3
26,No,Travel_Rarely,1449,Research & Development,15,4,Marketing,1,125,2,Male,87,3,2,Research Director,3,Single,8491,12622,9,Y,No,22,3,4,80,2,10,5,3,6,6,2,6
32,No,Travel_Rarely,107,Human Resources,10,3,Medical,1,126,3,Male,48,4,1,Manager,1,Single,4651,21888,7,Y,No,13,3,2,80,3,17,0,3,2,2,2,2
32,No,Travel_Rarely,128,Research & Development,10,4,Medical,1,127,4,Male,45,2,2,Laboratory Technician,1,Married,6741,20808,4,Y,Yes,21,3,2,80,0,12,4,3,9,3,4,6
43,No,Travel_Frequently,1235,Sales,26,4,Life Sciences,1,128,2,Female,37,1,3,Laboratory Technician,1,Married,11406,24868,1,Y,No,24,3,3,80,2,28,2,3,8,2,3,3
59,No,Travel_Rarely,1046,Research & Development,19,1,Technical Degree,1,129,2,Male,62,3,3,Healthcare Representative,4,Married,11751,7296,0,Y,No,12,3,4,80,0,38,2,3,7,7,2,3
30,No,Travel_Frequently,230,Research & Development,1,4,Marketing,1,130,4,Male,47,3,1,Laboratory Technician,3,Married,4336,24951,0,Y,No,23,3,4,80,1,13,6,1,11,6,4,2
49,No,Travel_Rarely,287,Research & Development,24,1,Life Sciences,1,131,4,Male,64,3,1,Manager,4,Single,6887,24470,4,Y,No,24,3,3,80,0,29,1,4,12,8,0,3
56,No,Travel_Frequently,808,Human Resources,29,3,Life Sciences,1,132,2,Female,72,4,2,Research Scientist,1,Single,8707,20605,0,Y,Yes,23,3,4,80,2,40,3,2,7,1,1,6
49,No,Travel_Frequently,1487,Sales,26,3,Life Sciences,1,133,3,Male,79,3,1,Research Director,1,Married,5314,2405,9,Y,Yes,22,3,4,80,0,30,4,4,9,6,2,7
21,Yes,Travel_Rarely,1327,Sales,10,2,Other,1,134,3,Male,32,2,2,Human Resources,4,Married,8120,20513,1,Y,No,17,3,4,80,0,4,3,1,4,4,3,4
47,Yes,Travel_Rarely,311,Research & Development,2,4,Life Sciences,1,135,3,Male,88,4,2,Sales Representative,1,Married,9283,14308,6,Y,No,15,3,1,80,2,28,4,3,3,2,3,3
54,No,Non-Travel,375,Sales,17,1,Medical,1,136,1,Female,57,2,1,Laboratory Technician,3,Single,6668,25218,1,Y,Yes,18,3,2,80,1,35,0,3,11,3,1,5
40,Yes,Travel_Rarely,1196,Sales,24,2,Life Sciences,1,137,4,Male,75,3,3,Manufacturing Director,2,Single,10757,17345,4,Y,No,12,3,1,80,1,20,3,3,5,4,2,3
56,No,Non-Travel,342,Sales,7,3,Life Sciences,1,138,2,Female,93,3,1,Research Scientist,4,Single,7444,2397,0,Y,No,18,3,1,80,1,35,6,2,11,1,2,8
32,No,Travel_Rarely,1225,Sales,7,4,Medical,1,139,1,Female,99,3,5,Human Resources,2,Single,15898,16665,6,Y,Yes,17,3,2,80,0,17,5,2,11,2,3,6
46,No,Travel_Rarely,1086,Research & Development,20,4,Human Resources,1,140,3,Female,76,3,3,Healthcare Representative,2,Single,10635,16560,4,Y,Yes,22,3,1,80,1,27,6,3,8,8,0,3
53,No,Travel_Frequently,784,Sales,27,4,Medical,1,141,1,Male,43,3,2,Research Scientist,2,Married,9592,21857,0,Y,No,21,3,3,80,0,37,6,4,14,3,0,1
